INSTANCE;TIME
1;4.002461910247803
2;3.8184354305267334
3;4.085633277893066
4;3.6334164142608643
5;4.216914653778076
6;3.5037102699279785
7;3.98119854927063
8;3.752720594406128
9;4.006021738052368
10;3.821934700012207
11;4.974308013916016
12;3.60992693901062
13;4.348918676376343
14;3.6652796268463135
15;4.306246995925903
16;103.34305810928345
17;4.467298984527588
18;4.1771557331085205
19;5.250104904174805
20;4.941783905029297
21;8.085697174072266
22;7.102538585662842
23;5.288777589797974
24;7.787053823471069
25;32.23650050163269
26;13.626876831054688
27;177.51519632339478
28;40.57450866699219
29;281.55003094673157
30;NO
31;285.29430508613586
32;NO
33;NO
34;47.8095269203186
35;4.529235124588013
36;164.52794671058655
37;47.48912048339844
38;NO
39;NO
40;NO